job_id,function_group,job_kind,purpose,scheduler_result,scheduler_evidence,exit_code,functional_result,scientific_result,scientific_reason,material,workflow_step,workflow_id,partition,node,cpus,memory,gpus,submitted_at,started_at,finished_at,queue_seconds,run_seconds,vasp_wall_seconds,peak_rss_kbytes,stdout_bytes,stderr_bytes,stdout_sha256,stderr_sha256,evidence_files,notes
32598,build_and_release,build,"Build, test, and publish an immutable release",failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,462,0,b3b63103f6214c69ed9fd96b64437caf66c3aa2373867ed8101729eab09d9b49,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/build-32598.out;logs/build-32598.err,base Python executable could not create the required environment
32599,environment_probe,python-diagnostic,Inspect compute-node Python tooling,failed,terminal_job_log,nonzero_by_terminal_evidence,failed,not_applicable,,,,,,,,,,,,,,,,,241,112,a9cd540674678261bf35c743e638aceea8411c5d5fe1a5a800d403675f2a7a57,5df6091de15f20be06f7e5ede70f9ae8c37ec746d4f2fb2a587ddd247055934f,logs/python-diagnostic-32599.out;logs/python-diagnostic-32599.err,compute-node Python diagnostic found pip unavailable
32601,environment_probe,virtualenv-probe,Probe virtual environment creation,cancelled,slurmd_cancellation_record,,cancelled_before_completion,not_applicable,,,,,,anode16,,,,,,2026-08-05T20:01:01.292,,,,,0,120,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,917435156fae471688fe60cf4309fe1d4d8079f0cd4ea010e84de3f8b505779c,logs/virtualenv-probe-32601.out;logs/virtualenv-probe-32601.err,
32604,environment_probe,pip-bootstrap-probe,Probe pip bootstrap,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,129,0,5387ff40f65e48038584fe0b38ffa8306c129aa59faeccd198c5849ff300e862,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/pip-bootstrap-probe-32604.out;logs/pip-bootstrap-probe-32604.err,
32605,environment_probe,module-probe,Probe the site Python module,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,40,0,af4979615f5837b5b218ca02d13dc2c18d7732ea00e5824acd65e4e1b982f94f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/module-probe-32605.out;logs/module-probe-32605.err,
32608,environment_probe,miniconda-probe,Probe an isolated Miniconda environment,completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,119,0,ffaaff530371aa5dbca88a7e57f49997b244069dc4a642287248075cae96990e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,logs/miniconda-probe-32608.out;logs/miniconda-probe-32608.err,
32642,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,62210,5371,ba80d27bd92fa1da15d3cb465d4ebf3a8fb12e90690cd5de6a4cfded2b702918,0a14fc9d039d5bed84b3d22e53125488a98bff292bf7385b02f1d55f2138b3e2,logs/build-32642.out;logs/build-32642.err,
32676,web_service,service,Run the long-lived FastAPI and frontend service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode16,,,,,,2026-08-06T01:24:19.012,,,,,16193,40881,7a24fb4971bc3fd8a95e0f04e0aff01f314cfec7179c074785399d35269f8a10,ad8e92d00fe6b889e943407519b084ef26fb631657d7b0208ac61245b714352c,logs/service-32676.out;logs/service-32676.err,
32757,build_and_release,build,"Build, test, and publish an immutable release",completed,successful_terminal_job_log,0:0_by_terminal_evidence,passed,not_applicable,,,,,,,,,,,,,,,,,39230,5460,a12cf04f1fb169f27753eca6f3a7f2c41a1a4c43d43b6f084c4a4513b7ca0cb2,5e8ab1590534e0a17465ee00fa3e5c30a127c94936f2866cf0c63c84476b3271,logs/build-32757.out;logs/build-32757.err,
32769,web_service,service,Run the long-lived FastAPI and frontend service,cancelled,slurmd_cancellation_record,,passed_then_controlled_stop,not_applicable,,,,,,anode01,,,,,,2026-08-08T11:49:47.403,,,,,4917,728,e7cf0e647a9a97132c74aa8a8bff7fb2e1ddf51bc64ca4762de7d2337cbadbf3,2efe3681da0a134a0f5e6637ebe89a7bae78f8c823469fec437d6e8a2fac857a,logs/service-32769.out;logs/service-32769.err,
